Carrington Number,g10,g11,h11,Bo,ThetaN,PhiN
1642,187.98,-0.5,-13.84,188.48945859119,4.21353309857205,-92.0690343952903
1643,190.47,-2.61,-15.59,191.124778874954,4.74406387922873,-99.5040351966613
1644,173.35,-3.21,-14.65,173.997554867877,4.94469064687041,-102.358914017448
1645,162.42,7.53,0.46,162.59510724496,2.65934654792234,3.49579628915263
1646,152.62,7.39,-0.67,152.800279450006,2.78350097130773,-5.18044750744788
1647,171.01,9.42,-10.23,171.574501019237,4.64903449464024,-47.3604743898113
1648,153.47,4.62,-12.31,154.032208969423,4.89680632876788,-69.4286541453397
1649,179.53,-4.7,-12.68,180.038588363717,4.30764920798395,-110.337852203161
1650,134.24,3.87,-1.42,134.303279557872,1.75890787376247,-20.1493528767425
1651,135.01,-10.75,2.25,135.455989531656,4.65071887095339,168.178511659393
1652,153.13,1.39,-0.98,153.139444298326,0.636328210501155,-35.1852133279477
1653,154.69,17.51,-8.98,155.936642903456,7.24977172414795,-27.151010310973
1654,149.65,-2.15,-22.23,151.307362345657,8.48815998978425,-95.5242453024972
1655,164.91,4.86,-14.65,165.630764654396,5.34713912655477,-71.6472208516583
1656,168.57,-2.66,-21.34,169.936211856096,7.27017859779676,-97.1051885335047
1657,167.53,-1.52,-15.28,168.232249286515,5.23696710450193,-95.680890817966
1658,168.01,-0.55,-11.19,168.383130687133,3.81503964300061,-92.813881956645
1659,165.05,-21.73,-10.87,166.828811360628,8.37439988201792,-153.424402940561
1660,163.96,-19.77,2.01,165.15984560419,6.91052988732687,174.194731633264
1661,158.66,-14.56,10.71,159.686233908875,6.49920043695728,143.662658166652
1662,157.41,-17.97,21.8,159.92519813963,10.175039945276,129.499165584394
1663,150.36,-7.91,22.53,152.244207114754,9.02361362870995,109.345533546865
1664,127,-1.63,21.58,128.830715669828,9.67061293145818,94.3195143007334
1665,115.51,-6.13,5.56,115.80609051341,4.09804528092115,137.791509772005
1666,132.81,9.31,10.36,133.53839073465,5.98707049320567,48.0555934577529
1667,121.67,8.26,-15.13,122.885041400489,8.06384467389787,-61.3683186934429
1668,135.58,19.75,-15.7,137.907537502488,10.5415552366981,-38.482477407398
1669,131.37,17.4,-8.23,132.772624437419,8.33560509461461,-25.313611067187
1670,113.91,25.89,-29.77,120.54888261614,19.1036825103775,-48.9875778209174
1671,111.71,19.39,-35.49,118.80503482597,19.9013653407075,-61.3499659657507
1672,100.02,-10.81,-29.37,104.801972309685,17.3748785270844,-110.206776496779
1673,78.03,17.95,-22.72,83.2290922694703,20.3587413506142,-51.6894011804177
1674,77.31,10.29,-21.16,80.8112974775186,16.9276531798704,-64.0665817043959
1675,104.92,24.64,-53.43,120.291732467365,29.2831808125887,-65.2425426834269
1676,71.19,51.09,-50.23,101.001272764258,45.1831704130033,-44.5136874545889
1677,77.54,8.17,-54.99,95.4101703174248,35.6392668706872,-81.549242853346
1678,60.92,-26.7,-83.49,106.746037397179,55.2009228509674,-107.734212782834
1679,58.27,-56.69,-67.58,105.717573751955,56.5516146467201,-129.991863014296
1680,32.43,-81.73,-76.2,116.352644147007,73.8160768908224,-137.005421785131
1681,25.52,-94.19,-57.15,113.089119724225,76.9581476141497,-148.75262097316
1682,44.42,-81.12,-53.78,106.985415828514,65.4682908266835,-146.456877898907
1683,30.4,-70.83,-57.78,96.3305626475835,71.6041679412501,-140.793946827901
1684,53,-63.2,-15.02,83.8381798466546,50.7895809845132,-166.63120013559
1685,44.26,-96.86,-13.51,107.346761944644,65.6500557981368,-172.059631794009
1686,25.63,-55.04,44.06,75.0172120249746,70.022266802194,141.322423252035
1687,-13.95,-25.68,61.28,67.8918500263471,101.857239342193,112.736610840865
1688,-28.84,-18.8,5.89,34.926747629861,145.662387900878,162.604337257267
1689,-2.76,-23.94,-43.92,50.0969819450234,93.1582033908737,-118.594004818769
1690,1.21,-3.99,-38.61,38.8344730877091,88.2144957813834,-95.9000655314262
1691,-4.8,-37.84,-12.17,40.0376635182424,96.8855877550367,-162.171308976251
1692,-14.09,-56.78,-17.64,61.1037322918985,103.331897077621,-162.741403089836
1693,-23.32,-57.55,-39.94,73.8310808535267,108.412505741849,-145.239150413212
1694,-40.44,-79.58,-30.62,94.3713643008302,115.37366079275,-158.95477003225
1695,-84.01,-52.99,11.55,99.9951133806048,147.155017625151,167.703807225294
1696,-81.29,4.33,10.98,82.1423970918794,171.738646633412,68.4780359323619
1697,-76.82,4.77,24.39,80.7399368342582,162.073070805889,78.9342241994229
1698,-56.67,18.91,-1.64,59.7642585497386,161.482302551771,-4.95666576895408
1699,-82.14,4.44,0.72,82.2630634002892,176.865604447467,9.21102654081667
1700,-99.81,37.45,-21.2,108.692127589812,156.676168055033,-29.5136847096548
1701,-101.12,72.45,-37.3,129.867420471803,141.136245499006,-27.241122575259
1702,-124.19,65.06,-35.14,144.536428972076,149.230209169594,-28.374228001068
1703,-139.33,84.78,-21.97,164.569675821519,147.847245312646,-14.5281223706293
1704,-102.7,66.82,-20.55,124.235682877344,145.756603672496,-17.0948955852837
1705,-85.35,76.16,23.17,116.71254002891,136.994135130916,16.9212262663763
1706,-74.09,15.75,0.55,75.7475616769279,167.991650810229,1.99999229903418
1707,-94.4,84.66,32.77,130.96773839385,136.119593823279,21.1603104882087
1708,-105.17,57.99,-8.23,120.379823475531,150.88576757964,-8.07753235679909
1709,-115.2,80.25,-7.23,140.582272708902,145.029672535069,-5.14807623436068
1710,-112.59,77.71,-50.62,145.868902100482,140.520981234361,-33.0800688168002
1711,-125.55,43.24,-16.85,133.852241669686,159.714148699689,-21.2901401904673
1712,-161.68,13.91,-19.42,163.435145853026,171.595518273396,-54.3870394615851
1713,-141.87,29.07,-16.67,145.773971270594,166.710000190988,-29.8318311861488
1714,-155.28,18.61,-47.62,163.480503118873,161.775431749027,-68.6543333249862
1715,-130.48,27.7,-20.9,135.015296911128,165.107340519523,-37.0350147089551
1716,-105.32,10.78,-22.93,108.324954188774,166.473002900989,-64.8205405490861
1717,-95.14,-37.1,13.66,103.027303177362,157.434960696789,159.786592280969
1718,-61.2,-25.99,20.71,69.6406792040399,151.497550608845,141.450588101613
1719,-80.54,-7.4,35.4,88.2870975850945,155.818311399579,101.807063421599
1720,-141.2,-12.46,100.64,173.842173249186,144.314481138501,97.0577398462306
1721,-155.39,-42.8,137.62,211.936680402426,137.154551695564,107.275762129721
1722,-149.44,-17.14,155.27,216.182483332947,133.730553989788,96.2992826869913
1723,-154.53,-9.57,175.21,233.815418439418,131.369001928393,93.1263986309154
1724,-150.39,37.61,145.56,212.648484123447,135.009456341291,75.5126834862807
1725,-136.03,79.79,104.3,189.074310788113,136.009302597556,52.5838381142008
1726,-113.44,48.65,76.44,145.184467833167,141.3844202417,57.5254128060618
1727,-132.82,76.7,53.32,162.379385391127,144.881197111737,34.806100006202
1728,-152.27,63.23,39.03,169.432956357375,153.988174986625,31.6858006539458
1729,-152.44,32.81,43.66,161.927901548807,160.28913922641,53.075548949638
1730,-128.19,14.61,26.39,131.691154980128,166.758661060733,61.030262075902
1731,-134.37,-4.86,59.03,146.845011491709,156.212318170475,94.7066046053718
1732,-125.97,-7.17,28.46,129.343810829896,166.884835913629,104.14040888901
1733,-89.71,2.94,23.09,92.6805038829634,165.454610984777,82.7436975908174
1734,-93.45,15.31,37.78,101.954043568659,156.432467044429,67.9401974871933
1735,-146.29,22.17,63.42,160.97940675751,155.333147729949,70.7316873694521
1736,-176.38,12.29,32.77,179.818857186892,168.776672287478,69.4420387258571
1737,-203.71,36.24,21.19,207.990667579101,168.355545793179,30.3153824072312
1738,-203.05,29.89,47.11,210.575560547752,164.635973883653,57.6059959720373
1739,-188.65,16.22,25.48,191.052718640694,170.903618227056,57.5200784756332
1740,-190.5,12.33,-2.78,190.918850038439,176.204037305242,-12.7058129009949
1741,-192.57,-6.5,9.49,192.913231790875,176.581663694387,124.408472252029
1742,-183.96,10.06,16.09,184.936133029757,174.110580928088,57.9850152201966
1743,-191.98,-24.99,1.03,193.602379634136,172.577293723319,177.639805165548
1744,-201.81,-25.66,-7.59,203.576324261934,172.446926240256,-163.522251036149
1745,-207.58,-47.76,-21.73,214.109007050147,165.814208853906,-155.535260013183
1746,-196.69,-64.09,-15.58,207.454140956502,161.462027443192,-166.336677388399
1747,-207.13,-59.26,-14.09,215.900700786264,163.612637934331,-166.625367551737
1748,-211.17,-57.86,-51.39,224.903269429326,159.873798112682,-138.389210258118
1749,-206.42,-61.87,-36.7,218.595524428109,160.786895222509,-149.324461551252
1750,-211.4,-62.9,-52.11,226.631467585594,158.874291668657,-140.359683147048
1751,-215.38,-52.23,-56.65,228.748201741566,160.315093638637,-132.675345623808
1752,-211.92,-59.31,-44.4,224.497488850098,160.730181422342,-143.181143284503
1753,-208.57,-48.88,-37.14,217.416832145076,163.59906163526,-142.771705071701
1754,-219.99,-45.41,-23.19,225.821709098129,166.95056273134,-152.947486625044
1755,-210.21,-37.57,-19.5,214.429473254028,168.614837019096,-152.569281766505
1756,-226.43,-29.61,-18.91,229.139444661979,171.180241041536,-147.436249990068
1757,-231.47,-24.87,-11.17,233.070046767061,173.282471679034,-155.813458804507
1758,-218.35,-17.33,-10.6,219.292980735818,174.684643184648,-148.547705393687
1759,-210.8,-10.54,-10.49,211.323855018784,175.964859339173,-135.136223660374
1760,-218.07,-4.68,-11.67,218.432177574642,176.700104957996,-111.852181098684
1761,-223.63,-2.97,-12.9,224.021444955611,176.612405315404,-102.96541901314
1762,-230.23,7.06,-14.82,230.814490229708,175.921631979919,-64.5276513585818
1763,-240.59,12.42,-12.72,241.245938618664,175.773920360621,-45.6836880679404
1764,-231.76,11.28,-12.38,232.3643699021,175.866685483188,-47.6618768566239
1765,-227.33,11.29,-18.96,228.398499557243,174.455688325223,-59.2277185085246
1766,-219.35,23.37,-18.11,221.333575175571,172.323501135298,-37.7730037299907
1767,-227.34,3.55,-22.98,228.526056501223,174.160031977703,-81.2182433197525
1768,-225.94,12.5,-14.66,226.759893279213,175.126240278308,-49.547089544008
1769,-206.34,-1.35,-13.5,206.785560666116,176.238085163468,-95.7105931374996
1770,-194.91,4.21,-9.92,195.207680689055,176.835393501198,-67.00386722857
1771,-196.72,-4.78,-14.29,197.296251611631,175.619839227263,-108.495070290377
1772,-198.44,-18.45,-8.34,199.470277735807,174.174103044804,-155.675484439794
1773,-201.95,-12.84,-2.79,202.377005116688,176.277369094301,-167.740784112765
1774,-208.55,-12.98,-4.21,208.99594972152,176.256404660535,-162.029780796044
1775,-221.61,-10.31,2.11,221.85973113659,177.281211137762,168.433807828034
1776,-224.24,-5.7,-1.1,224.315130118323,178.517046596735,-169.077195280131
1777,-225.61,-10.46,0.1,225.852371473049,177.345364488029,179.452255888759
1778,-198.98,-6.59,1.89,199.098067795747,178.026708253363,163.99720502039
1779,-206.16,-5.62,3.76,206.270859793622,178.121439542397,146.215927998052
1780,-213.34,-8.78,0.71,213.521774299485,177.635640017518,175.37680209958
1781,-217.35,-11.5,-8.31,217.81259972738,176.265128093615,-144.147797122659
1782,-225.75,-10.88,3.68,226.041985701772,177.087468532239,161.312648494789
1783,-198.24,-13.08,1.15,198.67437303286,176.21054031703,174.97544706964
1784,-211.3,-9.83,-0.05,211.528535663631,177.336398512095,-179.708569250262
1785,-206.05,-9.84,-5.71,206.363834525335,176.839715001578,-149.874068657119
1786,-190.65,-2.63,-2.42,190.68349640176,178.926043939572,-137.38122483268
1787,-202.68,4.59,-9.69,202.963411973686,176.971773196303,-64.6538240580533
1788,-204.25,-13.39,-6.55,204.793205697845,175.825946041602,-153.933459377316
1789,-199.95,-6.68,-7.15,200.189278933713,177.198357464075,-133.053604005144
1790,-200.06,-18.54,-8.13,201.081655304506,174.221865415157,-156.322004733695
1791,-186.83,-13.19,8.99,187.510653297353,175.116636050881,145.722559308535
1792,-178.91,-15.75,21.76,180.915306704546,171.461288383696,125.89721295378
1793,-166.04,-22.15,42.42,172.7986125523,163.92236831759,117.571733868814
1794,-166.33,-5.64,41.03,171.408691144878,166.017806787856,97.8268493954058
1795,-168.54,22.69,30.64,172.798661163795,167.253234825508,53.4787478135032
1796,-180.18,4.68,21.32,181.497320090408,173.092654048794,77.6192430711928
1797,-177.83,6.73,28.28,180.190344358403,170.716007643851,76.6138935017256
1798,-193.7,20.07,17.66,195.536110475789,172.141964702607,41.3452029094519
1799,-144.37,10.56,17.2,145.773970584601,172.041598912521,58.4520103571352
1800,-134.86,15.46,40.69,141.710646389042,162.111766485126,69.1959159830202
1801,-131.04,34.55,21.84,137.266782944746,162.676233504796,32.2981002817954
1802,-155.67,-12.63,-17.4,157.147783312397,172.136248119571,-125.974474137145
1803,-146.09,-4.98,-12.38,146.698169381898,174.780995014155,-111.91303485489
1804,-115.65,-47.95,-9.18,125.532455564288,157.113297853431,-169.161901747814
1805,-86.29,-67.44,-24.97,112.328173669832,140.1921236815,-159.682674157431
1806,-80.08,-44.39,15.21,92.8149912460266,149.631489865658,161.086245996185
1807,-77.89,-53.19,6.83,94.5657289931189,145.452861187713,172.682827831015
1808,-109.32,-76.26,-1.27,133.296897563297,145.097219959863,-179.045909859175
1809,-106.16,-31.12,-11.03,111.17581076835,162.723748066873,-160.483919946131
1810,-62.74,-80.01,-18.16,103.284525946533,127.40521947857,-167.212139355677
1811,-75.16,-47.53,-49.31,101.68383647365,137.659387032469,-133.946974346238
1812,-29.95,-76.38,-27.6,86.560192351912,110.242973799792,-160.132620452228
1813,-61.91,-54.9,-39.58,91.7247758242014,132.450574466859,-144.210387734909
1814,-26.83,-99.5,17.29,104.494224720795,104.877934144542,170.142212706533
1815,-23.17,-91.7,68.71,116.905102540479,101.431423957939,143.156103613735
1816,-27.77,-50.89,70.35,91.1596813289735,107.735922551461,125.881340951685
1817,-32.98,-23.43,80.07,89.7098110576541,111.569515048671,106.310476440737
1818,-43.08,19.77,23.42,52.8699886514079,144.570457337706,49.8306054781871
1819,-30.31,-2.46,-13.03,33.0836606197077,156.371320765109,-100.69132141347
1820,-28.99,1.28,-56.43,63.4539470797523,117.185110122716,-88.7005843758642
1821,-27.81,-34.94,-36.25,57.5174947298646,118.914574653666,-133.94579293367
1822,14.48,17.84,-53.21,57.9589518538767,75.5324298398675,-71.4649684950239
1823,12.03,-62.44,-92.68,112.396872287444,83.8557803598703,-123.968780029866
1824,45.86,-85.83,-89.81,132.422674040362,69.7378918586103,-133.701900569254
1825,13.59,-124.98,-54.84,137.157260471329,84.3136122044156,-156.308604508761
1826,23.28,-113.02,45.5,124.03922282891,79.1824276321012,158.071092113994
1827,6.72,-83.31,9.88,84.1625148150886,85.4203135571305,173.236698903709
1828,8.87,-63.41,25.74,69.0076271146893,82.6149686155454,157.906307304393
1829,17.81,-31.59,13.67,38.7555557307594,62.6421188463256,156.600326474476
1830,69.19,-19.29,-36.37,80.5117202648161,30.7531852429509,-117.940682397445
1831,18.84,-30.61,-31.45,47.7600272194227,66.7669433333443,-134.224532452385
1832,28.09,-19.27,-60.33,69.2826810970823,66.0812703211618,-107.713997339595
1833,23.8,-101.39,-60.44,120.413311971725,78.6002791016537,-149.200237797778
1834,22.8,-124.77,-33.2,131.109240330344,79.9853029764519,-165.099455391965
1835,48.38,-58.29,0.33,75.7526065558143,50.3081854831217,179.675632093987
1836,50.25,-62.75,25.49,84.3348391828668,53.4275227202719,157.892266094138
1837,47.33,-31.41,-0.98,56.8126517599733,33.5826182856175,-178.212936811467
1838,48,33.04,-46.7,74.6761782632186,50.0009235790492,-54.7207976553804
1839,31.05,15.43,-96.65,102.681107804698,72.398639145496,-80.9293768323208
1840,55.37,53.45,-72.48,105.71702701079,58.4154182029994,-53.5932735501725
1841,58.96,52.19,-69.67,105.137940820619,55.889752169472,-53.1630120458344
1842,93.88,48.66,-92.62,140.569251260722,48.0982050425352,-62.2837990639473
1843,104.17,36.86,-101.81,150.250872210447,46.1075301345225,-70.0973656605852
1844,112.59,65.27,-161.66,207.534663610685,57.1452090815725,-68.0136755023938
1845,118.1,55.36,-137.46,189.492984566712,51.4467239116561,-68.063611608091
1846,150.77,-10.69,-111.12,187.599369401925,36.5169612829139,-95.4950755295302
1847,143.28,-4.56,-119.56,186.666937618851,39.8637962474096,-92.1841935459648
1848,161.3,17.45,-132.85,209.693383300475,39.7162501131453,-82.516972562554
1849,146.77,-3.29,-114.77,186.344868187992,38.0358238289077,-91.6419927372344
1850,161.35,7.7,-89.64,184.73884837792,29.1444015889998,-85.0903928960795
1851,183.22,-11.73,-93.5,206.032549127559,27.2174691942333,-97.1506577790598
1852,175.9,20.74,-51.94,184.577141596678,17.6381589910863,-68.2328332890132
1853,202.47,13.51,-54.78,210.184370018325,15.5713047807305,-76.1460147697513
1854,164.6,15.23,-59.26,175.60427244233,20.3913134868659,-75.5867413449012
1855,167.21,-27.71,-24.66,171.27505305794,12.5079578980948,-138.333109641443
1856,168.63,8.39,-10.77,169.181742218243,4.62857271490876,-52.0808464132759
1857,168.58,1.43,23.37,170.198173315697,7.90710294041733,86.4984622575138
1858,185.51,10.87,25.09,187.51433305217,8.38480459981603,66.5757933877823
1859,193.78,6.98,22.11,195.162140027209,6.82295499319847,72.4793926219582
1860,188.91,17.6,30.5,192.163987521075,10.559037250902,60.0129400276178
1861,192.99,36.64,26.43,198.207402989898,13.1753504644006,35.8045244355572
1862,182.6,10.59,33.68,185.981855297768,10.9430945403603,72.5452918070436
1863,178.44,57.67,5.2,187.599846748338,17.9782998462523,5.15232403801978
1864,169.76,28.61,11.17,172.515966217623,10.2550973626693,21.3268135453904
1865,167.9,33.73,-15.03,171.912837798694,12.4038841780435,-24.0176280123269
1866,158.09,26.81,-29.79,163.09098166361,14.2254606335815,-48.0138501310775
1867,147.68,11.83,-23.84,150.058911431477,10.2157743561164,-63.6082509378808
1868,145.26,10.38,-24.15,147.619221309422,10.2572424086536,-66.7413060382059
1869,160.91,11.17,-33.16,164.670527417629,12.2682902093757,-71.3838179556682
1870,157.38,-8.39,-23.31,159.317960694957,8.94579541623961,-109.795394704147
1871,164.11,-5.7,-19.4,165.350966432011,7.02402857356446,-106.37354932705
1872,163.75,-20.08,-16.77,165.826722213279,9.07724085351199,-140.132739157713
1873,150.48,-15.44,-8.08,151.485677210752,6.60574349906545,-152.376215099719
1874,159.93,-34.57,-9.94,163.925267728926,12.6757498828002,-163.958334502477
1875,165.61,-26.47,0.28,167.71228756415,9.08146587865169,179.39394711232
1876,158.58,-36.38,9.51,162.977179077317,13.3395944233498,165.350279402952
1877,175.82,-52.74,2.42,183.575696648549,16.7140397883467,177.372798691978
1878,165.15,-39.84,19.67,171.022387423401,15.0580623579269,153.723299581792
1879,175.36,-38.17,24.89,181.183858552576,14.5664429119186,146.892321276969
1880,171.04,-41.67,22.85,177.519556669117,15.5280564770202,151.261568714918
1881,177.48,-35.07,26.56,182.851001911392,13.9214813873041,142.861807111574
1882,171.42,-30.58,37.32,178.080698561074,15.7199848272999,129.331183461036
1883,172.28,-23.78,30.93,176.642440257148,12.7600600233383,127.554265621897
1884,168.66,-4.97,30.27,171.426863122441,10.3080827908591,99.3241419690339
1885,181.28,-16.65,17.19,182.852828799557,7.5203717556595,134.085783239551
1886,172.87,-18.12,9.74,174.089743810484,6.78639673981028,151.740743770731
1887,160.97,-11.1,9.08,161.607540975042,5.09100762930123,140.716215331527
1888,170.93,-22.87,5.17,172.53066596985,7.81072191705137,167.261804011674
1889,170.49,-20.78,5.52,171.840387860363,7.18768582419936,165.123513146708
1890,181.95,-5.38,7.41,182.180281589419,2.88112640247534,125.981371163344
1891,155.05,-10.74,1.84,155.432415216389,4.01997634351376,170.27834441126
1892,171.74,-5.98,3.23,171.874433526339,2.26628277104667,151.625019548693
1893,143.53,1.38,13.77,144.195624760254,5.50736078275311,84.2770479801396
1894,164.31,8.05,-2.56,164.526995353346,2.94301183328182,-17.6413103886726
1895,164.64,8.32,-1.64,164.858246988132,2.9485218078084,-11.1509251685051
1896,175.43,8.79,-3.73,175.689674995431,3.1155382183048,-22.9937384894831
1897,169.43,11.33,-6.21,169.921917067811,4.36077524907032,-28.7272524329757
1898,145.44,17.02,-6.64,146.582958081763,7.15968046870045,-21.3122116283134
1899,163.27,9.9,-8.71,163.801608661209,4.61734259629411,-41.3412532878225
1900,167.92,5.53,-7.34,168.171290355994,3.1325910761284,-53.0054109742674
1901,173.93,-1.32,-7.39,174.091928015058,2.47139962884776,-100.127355047093
1902,148.44,8.16,-5.85,148.779170921201,3.86953169220519,-35.637184082194
1903,178.37,8.63,-1.76,178.587321498476,2.8268822212733,-11.5268159297145
1904,176.08,4.18,-5.72,176.222465083201,2.30404244269485,-53.8418145601917
1905,172.65,-7.72,1.15,172.826338849147,2.58847276576059,171.527310548319
1906,158.49,-0.7,-1.11,158.495432741767,0.474394915813716,-122.23678655213
1907,164.17,4.35,7.5,164.398787708426,3.02311764336947,59.8862668490176
1908,161.47,-2.3,7.53,161.66184398305,2.79158537793055,106.985023732706
1909,152.99,4.64,4.65,153.130964210378,2.45863395113895,45.0616746581095
1910,155.95,2.95,-2.36,155.995751865235,1.38770215151844,-38.6598082540901
1911,144.29,0.76,7.59,144.491486946463,3.02614990438485,84.2819328500834
1912,154.73,7.69,6.58,155.060650714487,3.74238760515282,40.5521717081493
1913,155.72,12.24,6.46,156.333833830045,5.07900634810159,27.8240963842533
1914,157.97,10.61,4.81,158.39895548898,4.21760249302589,24.3869683745709
1915,150.25,9.06,4.66,150.595025482252,3.87918824189452,27.2189693447016
1916,124.84,5.04,1.48,124.950460583385,2.40937480921623,16.3649181698809
1917,145.41,18.52,0.93,146.58759633748,7.26738903104886,2.87474913123692
1918,145.18,13.25,-7.81,145.992434735503,6.04739453037078,-30.5165416439808
1919,152.39,6.02,-4.56,152.577016945541,2.83712140600428,-37.1430216446453
1920,149.64,3.82,3.28,149.724681999996,1.92711199733066,40.6506662652819
1921,148.26,-3.1,2.55,148.314328707647,1.55086509031206,140.55994726331
1922,152.7,0.81,8.75,152.952635152193,3.29356192860314,84.7111210982591
1923,141.06,0.57,4.37,141.128825546024,1.78946105302463,82.5685920288275
1924,141.52,1.39,2.61,141.550890495256,1.19702070144205,61.9617058865329
1925,137.57,7.75,-0.99,137.791681534119,3.25049222475286,-7.27964817726749
